value_sequence,finalLabel
0.0,0
1e-05 0.00061 0.009155 0.018463 0.079651 0.242462 0.570526 1.072083 1.470184 1.582489 1.537781 1.290741 0.68573 -0.007782 -0.674896 -1.174927 -1.577148 -1.5271 -1.348877 -1.189575 -0.587769 -0.217743 -1e-05,1
0.0,0
0.005646 0.000916 -0.011444 -0.032349 -0.040741 -0.04425 -0.028687 -0.026245 -0.012207 0.010681 0.039673 0.083313 0.101013 0.104523 0.090637 0.07309 0.045166 0.008698 -0.028229 -0.061035 -0.088501 -0.090332 -0.083008 -0.075073 -0.063629 -0.046082 -0.02594 -0.018005 -0.016327 -0.010986 -0.00885 -0.006104 -0.003967 -0.010681 -0.012665 -0.010681 -0.009155 -0.016479 -0.016479 -0.008087 -0.002594 -0.002136 -0.00351 0.001068 0.000305 0.0 -0.011597 -0.016785 -0.025787 -0.027771 -0.028534 -0.035553 -0.027313 -0.024567 -0.02243 -0.019379 -0.016937 -0.016022 -0.019379 -0.012665 -0.013733 -0.006104,0
-0.024414 -0.015259 0.002136 0.020752 0.02655 0.024872 0.012054 -0.019531 -0.03952 -0.058441 -0.045471 -0.014191 0.023651 0.047913 0.062103 0.040283 -0.016785 -0.081787 -0.128632 -0.13916 -0.135345 -0.11673 -0.081482 -0.050812 -0.032349 -0.02655 -0.030975 -0.035706 -0.037537 -0.031128 -0.03006 -0.027466 -0.019989 -0.023193 -0.012512 -0.012665 -0.010681 -0.013733 -0.005493 -0.010986 -0.018158 -0.018005 -0.020294 -0.023499 -0.022736 -0.027313 -0.022888 -0.01297 -0.006714 -0.002136 0.005341 0.003815 -0.006561 -0.0177 -0.037231 -0.046844 -0.052185 -0.052795 -0.050659 -0.038605 -0.028687 -0.012512 -0.011139 -0.002899 0.000458 0.004272 0.007477 0.009766 0.007477 -0.000153 -0.021362 -0.040894 -0.066376 -0.084839 -0.088806 -0.082245 -0.071411 -0.057373 -0.044861 -0.038147 -0.032501 -0.019531 -0.020905 -0.011902 -0.011597 -0.001831 0.0 0.007935 0.003815 -0.004578 -0.019073 -0.039062 -0.042267 -0.024872,0
-0.019073,0
0.000458 0.11322 0.365143 0.848389 1.509399 1.722565 1.694489 1.682892 1.332397 0.480499 -0.434875 -1.199341 -1.944275 -1.983795 -1.982422 -1.896362 -1.314087 -0.734558 -0.319977 -0.002289 -1e-05,1
0.0,0
1e-05 0.270996 0.583038 0.704346 0.631409 0.500946 0.310974 0.065308 -0.2005 -0.423889 -0.578613 -0.693054 -0.77179 -0.643005 -0.393066 -0.194397 -0.066376 -0.022583 -0.005798 -0.00473 -0.00412,1
-0.011292 -0.018616 -0.024414 -0.031281 -0.024872 -0.019226 -0.012054 0.012665 0.029449 0.037689 0.044556 0.030975 0.006256 -0.022125 -0.039368 -0.043335 -0.045471 -0.037231 -0.026703 -0.014038 -0.010681 -0.003052 -0.008698 -0.010529 -0.007935 -0.010376 -0.005493,0
0.0 0.042267 0.191803 0.466614 0.95993 1.463165 1.580048 1.610107 1.514435 0.884705 -0.010071 -0.89035 -1.68396 -1.835327 -1.817169 -1.74408 -1.269073 -0.721741 -0.353546 -0.134125 -0.045319 -0.012054,1
0.002899 0.00473 0.006714 0.01358 0.008087 0.00946 -0.003052 -0.006409 -0.008545 -0.014801 -0.00885 -0.012207 -0.011444 -0.007019,0
0.001678 0.008087 0.031128 0.128632 0.355835 0.738068 1.138153 1.417542 1.608582 1.752319 1.774139 1.344147 0.78125 0.358887 -0.207214 -0.861359 -1.560059 -2.018585 -2.012177 -1.818695 -1.700287 -1.347656 -0.800781 -0.394897 -0.137329 -0.030823,1
0.008545 0.020142 0.021515 0.018921 0.025482 0.011292 0.009918 -0.000763 -0.008545 -0.022278 -0.028992 -0.03418 -0.031281 -0.03006 -0.029755 -0.021057 -0.012207 -0.000305 0.003815 0.008545 0.006409 0.004883 0.006561 0.012817 0.015106 0.01297 0.01236 0.012512 0.005035 -0.011597 -0.015869 0.001831 0.015564 0.033112 0.039978 0.026703 -0.008087 -0.043488 -0.070801 -0.073395 -0.057678 -0.028839,0
0.007782 0.077209 0.247192 0.594482 1.226959 1.744995 1.860352 1.881714 1.624756 0.784302 -0.199127 -1.121216 -1.954346 -2.096405 -2.084656 -1.879883 -1.253357 -0.654907 -0.273132 -0.08316 -0.015106 -0.003662,1
-0.012054 -0.020447 -0.015717 -0.020905 -0.016785 -0.009003 -0.012207 -0.009003 -0.012207 -0.012817 -0.014191 -0.018616 -0.023499 -0.014343 -0.017853 -0.021515 -0.020142 -0.012207 -0.010529 -0.011597 -0.004272 -0.002289 0.001068 0.008392 0.014191 0.025024 0.028229 0.029144 0.024414 0.009003 -0.00473 -0.015869 -0.030518 -0.040588 -0.039978 -0.036011,0
0.017853 0.15686 0.414124 0.845032 1.08963 1.165619 1.268005 1.140137 0.557098 -0.143127 -0.802002 -1.170197 -1.229553 -1.208191 -1.191864 -0.789642 -0.432587 -0.19104 -0.059814 0.0,1
0.029602 0.031891 0.021057 -0.005035 -0.034943 -0.065613 -0.067749 -0.068817 -0.067749 -0.043945 -0.033417 -0.025482 -0.023651 -0.027466 -0.024109 -0.024109 -0.02594 -0.023804 -0.020599 -0.016937 -0.01236 0.002441 0.000305 0.0 -0.015717 -0.02243 -0.035706 -0.041809 -0.030823,0
-0.213623 -0.150757 -0.064392,0
0.003662 0.003204 0.002747 -0.000458 -0.000916 -0.001984 0.003967 0.001984 -0.004578 0.002899 0.004272 0.005341 0.010071 0.008698 0.010071,0
0.009155 0.011139 0.044098 0.130463 0.306091 0.528717 0.675659 0.693359 0.581665 0.341492 0.019989 -0.332184 -0.606995 -0.757751 -0.771027 -0.623627 -0.381317 -0.180359 -0.056915 -0.008392,1
0.009308 0.016785 0.017242 0.023651 0.02243 0.018921 0.019836 0.014343 0.01236 0.009155 0.010986 0.007629 0.005646 0.003357 0.002594 0.006561 0.013123 0.024414 0.050507 0.070648 0.074921 0.065765 0.048218 0.009308 -0.026703 -0.054779 -0.070038 -0.074158 -0.061951 -0.039368 -0.015869 -0.010529 -0.004578 -0.004272 -0.000153 0.001831 -0.002136 0.001221 0.005646 0.004883 0.00824 0.003815 0.00412 0.007019 0.001068 0.004578 0.008392 0.016327 0.013733 0.018158 0.018005 0.018005 0.01297 0.010071 0.006866 0.008545 0.004272 -0.002441 -0.00946 -0.013123 -0.02243 -0.025635 -0.024719 -0.024109 -0.020599 -0.027313 -0.024872 -0.0177 -0.013885 -0.017395 -0.012207,0
0.018158 0.127411 0.344238 0.667267 0.969849 1.114655 1.065063 0.767059 0.268402 -0.281677 -0.765839 -1.089478 -1.181183 -1.082458 -0.816345 -0.487671 -0.235901 -0.107727 -0.064392 -0.045776,1
